Time,Z.ParticleNumber
200,60.4987
201,60.1914
202,59.3399
203,58.0817
204,56.5288
205,54.7696
206,52.8748
207,50.8986
208,48.8842
209,46.8651
210,44.8671
211,42.9094
212,41.0062
213,39.1677
214,37.4009
215,35.7103
216,34.0986
217,32.5668
218,31.1145
219,29.7405
220,28.443
221,27.2197
222,26.068
223,24.9849
224,23.9674
225,23.0124
226,22.1168
227,21.2772
228,20.4907
229,19.7543
230,19.0651
231,18.4203
232,17.8172
233,17.2534
234,16.7264
235,16.234
236,15.774
237,15.3443
238,14.9429
239,14.5681
240,14.2181
241,13.8912
242,13.586
243,13.3011
244,13.0351
245,12.7868
246,12.555
247,12.3387
248,12.1368
249,11.9484
250,11.7726
251,11.6086
252,11.4555
253,11.3128
254,11.1796
255,11.0553
256,10.9393
257,10.8311
258,10.7302
259,10.636
260,10.548
261,10.4659
262,10.3893
263,10.3179
264,10.2511
265,10.1888
266,10.1307
267,10.0765
268,10.0259
269,9.97862
270,9.93456
271,9.89345
272,9.85509
273,9.81931
274,9.78593
275,9.7548
276,9.72576
277,9.69865
278,9.67334
279,9.64975
280,9.62773
281,9.60718
282,9.58798
283,9.57007
284,9.55335
285,9.53775
286,9.52319
287,9.5096
288,9.49692
289,9.48509
290,9.47405
291,9.46375
292,9.45415
293,9.44519
294,9.43683
295,9.42904
296,9.42179
297,9.41504
298,9.40875
299,9.40288
300,9.3974
301,9.39227
302,9.38746
303,9.38304
304,9.37892
305,9.37507
306,9.37148
307,9.36811
308,9.36495
309,9.36197
310,9.35923
311,9.35667
312,9.35428
313,9.35205
314,9.34995
315,9.34798
316,9.34613
317,9.34442
318,9.34281
319,9.34131
320,9.33991
321,9.3386
322,9.33738
323,9.33623
324,9.33517
325,9.33417
326,9.33325
327,9.33238
328,9.33158
329,9.33082
330,9.33012
331,9.32947
332,9.32886
333,9.3283
334,9.32777
335,9.32728
336,9.32682
337,9.32639
338,9.32599
339,9.32562
340,9.32529
341,9.32497
342,9.32468
343,9.3244
344,9.32414
345,9.32389
346,9.32365
347,9.32344
348,9.32324
349,9.32306
350,9.32289
351,9.32273
352,9.32259
353,9.32245
354,9.32232
355,9.3222
356,9.32208
357,9.32198
358,9.32188
359,9.32178
360,9.32169
361,9.3216
362,9.32152
363,9.32144
364,9.32136
365,9.32129
366,9.32122
367,9.32116
368,9.3211
369,9.32105
370,9.321
371,9.32095
372,9.32091
373,9.32087
374,9.32083
375,9.3208
376,9.32077
377,9.32073
378,9.3207
379,9.32067
380,9.32064
381,9.32061
382,9.32058
383,9.32056
384,9.32054
385,9.32052
386,9.3205
387,9.32049
388,9.32047
389,9.32046
390,9.32046
391,9.32045
392,9.32043
393,9.32042
394,9.3204
395,9.32039
396,9.32038
397,9.32037
398,9.32036
399,9.32035
400,9.32034
